personId,firstName,familyName,position,heightInches,weight,birthDate
2544,LeBron,James,Forward,81.0,250.0,1984-12-30
101108,Chris,Paul,Guard,72.0,175.0,1985-05-06
200768,Kyle,Lowry,Guard,72.0,196.0,1986-03-25
200782,P.J.,Tucker,Forward,77.0,245.0,1985-05-05
201142,Kevin,Durant,Forward,83.0,240.0,1988-09-29
201143,Al,Horford,Center-Forward,80.0,240.0,1986-06-03
201144,Mike,Conley,Guard,73.0,175.0,1987-10-11
201145,Jeff,Green,Forward,80.0,235.0,1986-08-28
201566,Russell,Westbrook,Guard,76.0,200.0,1988-11-12
201567,Kevin,Love,Forward-Center,82.0,251.0,1988-09-07
201569,Eric,Gordon,Guard,75.0,215.0,1988-12-25
201572,Brook,Lopez,Center,85.0,282.0,1988-04-01
201587,Nicolas,Batum,Guard-Forward,79.0,230.0,1988-12-14
201599,DeAndre,Jordan,Center,83.0,265.0,1988-07-21
201935,James,Harden,Guard,77.0,220.0,1989-08-26
201939,Stephen,Curry,Guard,74.0,185.0,1988-03-14
201942,DeMar,DeRozan,Guard-Forward,78.0,220.0,1989-08-07
201949,James,Johnson,Forward,79.0,240.0,1987-02-20
201950,Jrue,Holiday,Guard,76.0,220.0,1990-06-12
201959,Taj,Gibson,Forward,81.0,232.0,1985-06-24
201988,Patty,Mills,Guard,74.0,180.0,1988-08-11
202066,Garrett,Temple,Guard-Forward,77.0,195.0,1986-05-08
202331,Paul,George,Forward,80.0,230.0,1990-05-02
202681,Kyrie,Irving,Guard,74.0,195.0,1992-03-23
202684,Tristan,Thompson,Center-Forward,81.0,254.0,1991-03-13
202685,Jonas,Valanciunas,Center,83.0,265.0,1992-05-06
202687,Bismack,Biyombo,Center,80.0,255.0,1992-08-28
202691,Klay,Thompson,Guard,77.0,220.0,1990-02-08
202692,Alec,Burks,Guard,77.0,214.0,1991-07-20
202693,Markieff,Morris,Forward,81.0,245.0,1989-09-02
202695,Kawhi,Leonard,Forward,78.0,225.0,1991-06-29
202696,Nikola,Vučević,Center,81.0,265.0,1990-10-24
202699,Tobias,Harris,Forward,80.0,226.0,1992-07-15
202704,Reggie,Jackson,Guard,74.0,208.0,1990-04-16
202709,Cory,Joseph,Guard,74.0,200.0,1991-08-20
202710,Jimmy,Butler III,Forward,78.0,230.0,1989-09-14
203076,Anthony,Davis,Forward-Center,82.0,253.0,1993-03-11
203078,Bradley,Beal,Guard,76.0,207.0,1993-06-28
203081,Damian,Lillard,Guard,74.0,200.0,1990-07-15
203083,Andre,Drummond,Center,83.0,279.0,1993-08-10
203084,Harrison,Barnes,Forward,79.0,225.0,1992-05-30
203109,Jae,Crowder,Forward,78.0,235.0,1990-07-06
203110,Draymond,Green,Forward,78.0,230.0,1990-03-04
203114,Khris,Middleton,Forward,79.0,222.0,1991-08-12
203458,Alex,Len,Center,84.0,250.0,1993-06-16
203468,CJ,McCollum,Guard,75.0,190.0,1991-09-19
203471,Dennis,Schröder,Guard,73.0,175.0,1993-09-15
203482,Kelly,Olynyk,Forward-Center,84.0,240.0,1991-04-19
203484,Kentavious,Caldwell-Pope,Guard,77.0,204.0,1993-02-18
203486,Mason,Plumlee,Forward-Center,84.0,254.0,1990-03-05
203497,Rudy,Gobert,Center,85.0,258.0,1992-06-26
203500,Steven,Adams,Center,83.0,265.0,1993-07-20
203501,Tim,Hardaway Jr.,Guard-Forward,77.0,205.0,1992-03-16
203507,Giannis,Antetokounmpo,Forward,83.0,243.0,1994-12-06
203552,Seth,Curry,Guard,73.0,185.0,1990-08-23
203648,Thanasis,Antetokounmpo,Forward,79.0,219.0,1992-07-18
203897,Zach,LaVine,Guard,77.0,200.0,1995-03-10
203901,Elfrid,Payton,Guard,75.0,195.0,1994-02-22
203903,Jordan,Clarkson,Guard,77.0,194.0,1992-06-07
203914,Gary,Harris,Guard,76.0,210.0,1994-09-14
203915,Spencer,Dinwiddie,Guard,77.0,215.0,1993-04-06
203924,Jerami,Grant,Forward,79.0,213.0,1994-03-12
203926,Doug,McDermott,Forward,79.0,225.0,1992-01-03
203932,Aaron,Gordon,Forward,80.0,235.0,1995-09-16
203935,Marcus,Smart,Guard,75.0,220.0,1994-03-06
203937,Kyle,Anderson,Forward-Guard,80.0,230.0,1993-09-20
203939,Dwight,Powell,Forward-Center,82.0,240.0,1991-07-20
203944,Julius,Randle,Forward-Center,81.0,250.0,1994-11-29
203952,Andrew,Wiggins,Forward,78.0,197.0,1995-02-23
203954,Joel,Embiid,Center-Forward,84.0,270.0,1994-03-16
203957,Dante,Exum,Guard,77.0,214.0,1995-07-13
203967,Dario,Saric,Forward-Center,82.0,225.0,1994-04-08
