personId,firstName,familyName,position,heightInches,weight,birthDate
2544,LeBron,James,Forward,81,250,1984-12-30
101108,Chris,Paul,Guard,72,175,1985-05-06
200768,Kyle,Lowry,Guard,72,196,1986-03-25
200782,P.J.,Tucker,Forward,77,245,1985-05-05
201142,Kevin,Durant,Forward,83,240,1988-09-29
201143,Al,Horford,Center-Forward,80,240,1986-06-03
201144,Mike,Conley,Guard,73,175,1987-10-11
201145,Jeff,Green,Forward,80,235,1986-08-28
201566,Russell,Westbrook,Guard,76,200,1988-11-12
201567,Kevin,Love,Forward-Center,82,251,1988-09-07
201569,Eric,Gordon,Guard,75,215,1988-12-25
201572,Brook,Lopez,Center,85,282,1988-04-01
201587,Nicolas,Batum,Guard-Forward,79,230,1988-12-14
201599,DeAndre,Jordan,Center,83,265,1988-07-21
201935,James,Harden,Guard,77,220,1989-08-26
201939,Stephen,Curry,Guard,74,185,1988-03-14
201942,DeMar,DeRozan,Guard-Forward,78,220,1989-08-07
201949,James,Johnson,Forward,79,240,1987-02-20
201950,Jrue,Holiday,Guard,76,220,1990-06-12
201959,Taj,Gibson,Forward,81,232,1985-06-24
201988,Patty,Mills,Guard,74,180,1988-08-11
202066,Garrett,Temple,Guard-Forward,77,195,1986-05-08
202331,Paul,George,Forward,80,230,1990-05-02
202681,Kyrie,Irving,Guard,74,195,1992-03-23
202684,Tristan,Thompson,Center-Forward,81,254,1991-03-13
202685,Jonas,Valanciunas,Center,83,265,1992-05-06
202687,Bismack,Biyombo,Center,80,255,1992-08-28
202691,Klay,Thompson,Guard,77,220,1990-02-08
202692,Alec,Burks,Guard,77,214,1991-07-20
202693,Markieff,Morris,Forward,81,245,1989-09-02
202695,Kawhi,Leonard,Forward,78,225,1991-06-29
202696,Nikola,Vučević,Center,81,265,1990-10-24
202699,Tobias,Harris,Forward,80,226,1992-07-15
202704,Reggie,Jackson,Guard,74,208,1990-04-16
202709,Cory,Joseph,Guard,74,200,1991-08-20
202710,Jimmy,Butler III,Forward,78,230,1989-09-14
203076,Anthony,Davis,Forward-Center,82,253,1993-03-11
203078,Bradley,Beal,Guard,76,207,1993-06-28
203081,Damian,Lillard,Guard,74,200,1990-07-15
203083,Andre,Drummond,Center,83,279,1993-08-10
203084,Harrison,Barnes,Forward,79,225,1992-05-30
203109,Jae,Crowder,Forward,78,235,1990-07-06
203110,Draymond,Green,Forward,78,230,1990-03-04
203114,Khris,Middleton,Forward,79,222,1991-08-12
203458,Alex,Len,Center,84,250,1993-06-16
203468,CJ,McCollum,Guard,75,190,1991-09-19
203471,Dennis,Schröder,Guard,73,175,1993-09-15
203482,Kelly,Olynyk,Forward-Center,84,240,1991-04-19
203484,Kentavious,Caldwell-Pope,Guard,77,204,1993-02-18
